team_1_id,team_1_home_goals,team_1_away_goals,team_1_home_received_goals,team_1_away_received_goals,team_1_home_w,team_1_home_t,team_1_home_l,team_1_away_w,team_1_away_t,team_1_away_l,team_2_id,team_2_home_goals,team_2_away_goals,team_2_home_received_goals,team_2_away_received_goals,team_2_home_w,team_2_home_t,team_2_home_l,team_2_away_w,team_2_away_t,team_2_away_l,match_season,matchday,winner,match_home_goals,match_away_goals
86,4,5,3,3,1,1,0,1,1,0,94,6,4,2,6,0,2,0,1,0,1,519,3,TIE,2,2
24,13,14,27,23,3,4,6,2,4,7,15,15,21,34,21,4,2,7,4,1,8,474,25,TIE,1,1
263,17,18,27,15,6,8,2,6,2,9,80,22,17,27,21,9,2,5,2,7,8,281,32,HOME,2,1
98,19,13,9,12,7,3,2,3,6,2,100,28,16,13,17,6,4,1,4,4,4,290,22,TIE,1,1
88,1,5,8,3,0,1,1,1,0,3,77,2,2,5,1,1,0,1,1,0,3,635,6,HOME,2,0
81,49,37,15,17,14,3,1,11,5,1,263,17,19,28,17,6,8,3,6,3,9,281,34,AWAY,0,2
76,13,11,9,12,3,4,2,2,5,1,397,12,9,15,10,3,3,2,2,2,5,468,16,TIE,2,2
18,3,6,6,2,1,2,0,2,0,1,15,3,2,10,8,0,0,3,0,0,3,599,5,AWAY,2,3
1044,30,23,40,25,8,5,6,5,1,12,340,26,18,35,29,5,7,6,4,4,11,151,36,TIE,3,3
394,0,4,11,7,0,1,4,0,2,2,328,6,4,11,6,1,1,2,1,1,3,151,8,TIE,1,1
450,25,17,22,20,8,5,4,3,7,7,100,34,29,20,26,9,4,5,8,3,5,530,33,HOME,2,1
100,32,19,18,19,8,4,1,5,4,5,110,25,14,14,14,8,3,3,5,3,5,290,26,HOME,3,0
397,19,16,32,28,6,5,8,3,4,12,57,42,31,35,16,14,3,2,7,4,8,151,37,TIE,1,1
83,14,13,22,7,7,1,3,2,2,7,559,14,14,12,9,5,4,2,6,2,3,519,21,HOME,2,0
28,5,1,1,3,1,0,1,0,1,0,18,1,3,4,1,0,1,0,1,0,1,599,2,TIE,1,1
586,5,3,3,4,2,0,1,1,0,1,584,1,2,8,3,1,0,1,0,0,3,530,4,HOME,1,0
80,9,5,14,22,0,3,7,2,2,5,745,10,6,16,14,3,1,6,0,4,5,519,18,HOME,2,0
558,19,17,26,18,4,4,5,2,3,8,263,13,14,22,7,6,5,1,5,2,7,281,25,TIE,0,0
108,25,29,19,9,10,5,3,9,4,5,115,19,15,30,20,7,5,6,2,5,11,290,35,TIE,0,0
